Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Mdigas ,Cavaleiros dos zodíaco ,Yuyu hakusho,Dragon ball z,Zatch bell,Vampire princess ,Jujutsu kaisen ,Samurai x ,Bleach,Magi,Naruto ,,,Lutas.
Isac ,Mob Psycho ,Ping Pong the animation,Monogatari Series,Fullmetal Alchemist,Haikyuu,Madoka Magica,Hunter x Hunter,Durarara,Vinland Saga ,Shinsekai Yori,,,"Um conceito interessante, desenvolvido narrativamente."
Isaac Lampert ,One Piece,Kingdom,Dorohedoro,Great Teacher Onizuka,Blame!,Jojo ,FLCL,Gintama ,Evangelion,Mushishi ,,,"Sou extremamente eclético, mas tenho preferência por diversão, drama, histórico e mundos diferentes. Sempre tentando extrair o máximo de cada obra levando em consideração o seu objetivo e público alvo!"
Snay,Fullmetal Alchemist ,Cowboy Bebop,Trigun,Berserk,Naruto,Hellsing Ultimate ,Monster,Gosick,Jojo's Bizarre Adventure ,Erased ,,,"Tudo em geral tem que ser bem escrito em compatível com a imagem do anime, que faça ele ser lembrado e aclamado, seja história, reviravolta, luta ou algo do tipo. Não dá pra passar um anime para frente se ele só tem um ponto legal na trama."
Florzinha,Demon Slayer,Jujutsu Kaisen,Boku no hero ,Attack on titan ,Death note,Baki ,Tokyo revenge,Tenkku shipan ,Kakegurui ,Horimiya,,,"Lutas, reviravolta, romance, terror. "
Lutty,One Piece,Haikyuu!!,Hunter x Hunter,Danshi koukousei no nichijou,Attack on Titan,Kimetsu no Yaiba,Zatch Bell,Danganrompa,Junji Ito: Histórias Macabras do Japão,One Punch Man,Another,High School of the Dead,"Gosto muito de plot twist, aqueles que são desvendados depois de muito tempo, mistério, personagens bem ricos em personalidade e passado envolvente. Adoro comédias mas também gosto de animes de terror, aventura e romance. Não gosto de anime com insinuação a pedofilia ou com muito machismo. Prefiro me manter longe de animes de categoria ecchi. Meus animes favoritos costumam ser de categoria: Shounen, Shoujo, Seinen, mas se outro anime de outra categoria for bom, aceito a oferta."
B,Bleach,Jujutsu kaisen,Death note,Charlotte ,Noragame,,,,,,,,"Gosto de aventura com finais inesperados, mas n consigo me manter sempre muito focada em animes longos, geralmente acabo esquecendo ent prefiro animes mais curtos. Gosto muuuuito de animes que tem qje pensar ou mostra um raciocínio dos personagens"
Yammi,Demon slayer,Code geass,Full metal,Claymore,Naruto,Dragon ball,Yo yo hakusho,Sakura card captor,Death note,Evangelio ,,,Lutas fodas e poderes fodas
Wizzer,Hellsing,Digimon,Toradora,One Piece,Kabaneri,Dragon Ball,Fly,Bucky,Hataraku Maou-Sama,Yu Yu Hakusho,jojo,toda a franquia Fate,Não gosto de animes que sexualizam mulheres ao extremo.
Mariana lee,Pokemon,The promissed neverland,Your name,Tokio revengers,Erased,Sk8 infinity,Yuri on ice,Death note,Kakegurui,Demon slayer,Attack on titan,The seven deadly sins ,
jez,Naruto,Jujutsu kaisen,Hunter x Hunter,Dragon Ball,Nanatsu no taizai,Attack on Titan,heroi do escudo,kenja no mago,menina da defesa,goblin slayer,goblin slayer,One Piece,
Hlove,Sailor moon,Sakura card captors,death note,Jujutsu kaisen,Puella magic,,,,,,,,
Nicolas,Hunter x Hunter,Naruto,Perfect Blue,Paprika,Naruto,Jujutsu Kaisen,Avatar,Castlevania,Chainsaw Man,Asobi Asobase,Bleach,One Piece,
